Name of the College,State,District,Type,Ownership,Degree,Other Degree,Course
"The Institute of Hotel Management Catering and Nutrition, Shimla ",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",BSc
University Institute of Information technology (UIIT),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,B.Tech in Computer Science And Engineering
University Institute of Information technology (UIIT),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,B.Tech in Electronics and Communication Engineering
University Institute of Information technology (UIIT),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,B.Tech in INformation Technology
"St Bedes College, Shimla",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,BSc
"St Bedes College, Shimla",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,BCom
"St Bedes College, Shimla",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,BA
"St Bedes College, Shimla",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,BCA
"St Bedes College, Shimla",Himachal Pradesh,Shimla,Co-ed,Govt ,UG,PG,BBA
Heritage Institute of Hotel and Tourism,Himachal Pradesh,Shimla,Co-ed,Govt ,UG,Diploma,BSc
Heritage Institute of Hotel and Tourism,Himachal Pradesh,Shimla,Co-ed,Govt ,UG,Diploma,BHMCT
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",BSc
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",B.Tech in Computer Science And Engineering
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",B.Tech in Civil Engineering
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",BCA
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",B.Pharma
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",BJMC
Alakh Prakash Goyal Shimla University (APG Shimla),Himachal Pradesh,Shimla,Co-ed,Govt ,UG,"Diploma, PG",LLB
